Unnamed: 0|trans_date_trans_time|cc_num|merchant|category|amt|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|trans_num|merch_lat|merch_long|is_fraud|merch_zipcode|merch_last_update_time|merch_eff_time|cc_bic
0|2019-01-01 00:00:18+08:00|270318######2095|Rippin, Kub and Mann|misc_net|4.97|Jennifer|Banks|F|561 Perry Cove|Moravian Falls|NC|28654|36.0788|-81.1781|3495|Psychologist, counselling|1988-03-09|0b242abb623afc578575680df30655b9|36.011293|-82.048315|0|28705|2012-01-01 00:00:18+08:00|2012-01-01 00:00:18+08:00|CITIUS33CHI
1|2019-01-01 00:00:44+08:00|630423##7322|Heller, Gutmann and Zieme|grocery_pos|107.23|Stephanie|Gill|F|43039 Riley Greens Suite 393|Orient|WA|99160|48.8878|-118.2105|149|Special educational needs teacher|1978-06-21|1f76529f8574734946361c461b024d99|49.159046999999994|-118.186462|0|""|2012-01-01 00:00:44+08:00|2012-01-01 00:00:44+08:00|ADMDUS41
2|2019-01-01 00:00:51+08:00|388594####7661|Lind-Buckridge|entertainment|220.11|Edward|Sanchez|M|594 White Dale Suite 530|Malad City|ID|83252|42.1808|-112.262|4154|Nature conservation officer|1962-01-19|a1a22d70485983eac12b5b88dad1cf95|43.150704|-112.154481|0|83236|2012-01-01 00:00:51+08:00|2012-01-01 00:00:51+08:00|""
3|2019-01-01 00:01:16+08:00|353409######0240|Kutch, Hermiston and Farrell|gas_transport|45.00|Jeremy|White|M|9443 Cynthia Court Apt. 038|Boulder|MT|59632|46.2306|-112.1138|1939|Patent attorney|1967-01-12|6b849c168bdad6f867558c3793159a81|47.034331|-112.561071|0|""|2012-01-01 00:01:16+08:00|2012-01-01 00:01:16+08:00|DEUTUS33TRF
4|2019-01-01 00:03:06+08:00|375534#####3984|Keeling-Crist|misc_pos|41.96|Tyler|Garcia|M|408 Bradley Rest|Doe Hill|VA|24433|38.4207|-79.4629|99|Dance movement psychotherapist|1986-03-28|a41d7549acf90789359a9aa5346dcb46|38.674999|-78.632459|0|22844|2012-01-01 00:03:06+08:00|2012-01-01 00:03:06+08:00|APBCUS61
5|2019-01-01 00:04:08+08:00|476726######4500|Stroman, Hudson and Erdman|gas_transport|94.63|Jennifer|Conner|F|4655 David Island|Dublin|PA|18917|40.375|-75.2045|2158|Transport planner|1961-06-19|189a841a0a8ba03058526bcfe566aab5|40.653382|-76.15266700000001|0|17972|2012-01-01 00:04:08+08:00|2012-01-01 00:04:08+08:00|APBCUS61
6|2019-01-01 00:04:42+08:00|300746####0476|Rowe-Vandervort|grocery_net|44.54|Kelsey|""|F|889 Sarah Station Suite 624|Holcomb|KS|67851|37.9931|-100.9893|2691|Arboriculturist|1993-08-16|83ec1cc84142af6e2acf10c44949e720|37.162704999999995|-100.15337|0|""|2012-01-01 00:04:42+08:00|2012-01-01 00:04:42+08:00|APBCUS61
7|2019-01-01 00:05:08+08:00|601136######5864|Corwin-Collins|gas_transport|71.65|Steven|Williams|M|231 Flores Pass Suite 720|Edinburg|VA|22824|38.8432|-78.6003|6018|Designer, multimedia|1947-08-21|6d294ed2cc447d2c71c7171a3d54967c|38.948089|-78.540296|0|22644|2012-01-01 00:05:08+08:00|2012-01-01 00:05:08+08:00|""
8|2019-01-01 00:05:18+08:00|492271######1201|Herzog Ltd|misc_pos|4.27|Heather|""|F|6888 Hicks Stream Suite 954|Manor|PA|15665|40.3359|-79.6607|1472|Public affairs consultant|1941-03-07|fc28024ce480f8ef21a32d64c93a29f5|40.351813|-79.958146|0|15236|2012-01-01 00:05:18+08:00|2012-01-01 00:05:18+08:00|ACEEUS31
9|2019-01-01 00:06:01+08:00|272083######1674|Schoen, Kuphal and Nitzsche|grocery_pos|198.39|Melissa|Aguilar|F|21326 Taylor Squares Suite 708|Clarksville|TN|37040|36.522|-87.34899999999999|151785|Pathologist|1974-03-28|3b9014ea8fb80bd65de0b1463b00b00e|37.179198|-87.485381|0|42442|2012-01-01 00:06:01+08:00|2012-01-01 00:06:01+08:00|DEUTUS33TRF
